"Daily Weather Observations for Brisbane, Queensland for October 2019"
"Prepared at 13:01 UTC on Monday 10 August 2020   IDCJDW4019.201910"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from Brisbane City, but some from Brisbane Airport."
"Brisbane Airport is located about 12 kilometres north east of the Brisbane City site, and closer to the coast. The evaporation, sunshine and cloud values should be used as a guide only."
"Temperature, humidity, wind, pressure and rainfall observations are from Brisbane {station 040913}"
"Cloud, evaporation and sunshine observations are from Brisbane Aero {station 040842}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2019-10-1,19.1,25.2,0,,4.6,ESE,37,14:08,22.0,55,8,ESE,17,1028.2,21.7,51,4,E,17,1026.5
,2019-10-2,15.7,24.7,0.6,,9.2,ENE,26,13:36,20.8,54,7,ESE,9,1029.8,22.9,45,2,ENE,13,1026.6
,2019-10-3,12.3,25.9,0,,11.4,NE,24,17:08,21.6,48,1,N,2,1027.9,23.8,40,1,NE,9,1023.1
,2019-10-4,13.6,26.7,0,,11.4,N,28,16:15,22.8,50,1,NW,4,1024.5,25.3,46,1,NNE,9,1019.9
,2019-10-5,13.2,30.3,0,,11.1,E,37,15:31,23.4,52,1,NE,4,1020.0,24.9,56,4,E,19,1018.1
,2019-10-6,17.0,27.1,0,,9.0,N,26,17:12,23.2,51,4,ENE,4,1022.0,25.5,53,1,NNE,11,1016.4
,2019-10-7,16.1,30.8,0,,10.5,NE,26,15:57,25.3,58,1,NNE,2,1016.0,27.9,56,1,NE,9,1010.6
,2019-10-8,20.5,30.5,0,,8.1,NNE,24,13:09,26.4,68,2,ENE,4,1012.0,27.5,65,5,NE,7,1006.5
,2019-10-9,18.6,26.0,0,,10.5,E,33,16:52,22.1,54,3,ESE,9,1018.8,22.4,43,0,E,17,1016.5
,2019-10-10,15.2,24.5,0,,9.7,SE,30,17:15,21.6,45,5,SSE,6,1020.5,22.4,43,3,ENE,9,1016.9
,2019-10-11,14.4,23.7,0,,4.1,E,28,14:06,20.1,55,6,SE,7,1018.5,19.8,52,7,ESE,11,1014.0
,2019-10-12,12.8,21.3,29.2,,4.9,WSW,26,08:55,13.2,84,8,WSW,11,1015.4,19.7,50,2,SSW,7,1011.2
,2019-10-13,12.9,25.3,1.8,,11.6,SSE,28,10:13,21.1,46,1,SSW,7,1017.7,22.6,50,3,ENE,9,1015.6
,2019-10-14,14.3,25.9,0,,11.0,NNE,26,17:48,21.5,57,7,WNW,4,1019.7,24.8,48,1,NNE,9,1014.5
,2019-10-15,18.2,27.2,1.2,,8.2,ENE,28,11:04,22.3,70,7,NNE,6,1015.2,25.5,61,2,NE,11,1011.2
,2019-10-16,18.9,28.6,0,,8.7,NE,31,16:08,25.4,66,7,N,4,1016.4,26.7,63,1,NNE,13,1012.2
,2019-10-17,19.4,30.6,0,,9.2,ESE,44,17:01,26.1,59,3,NW,9,1014.3,27.8,59,3,NNE,15,1008.1
,2019-10-18,18.9,27.2,7.0,,11.7,NE,33,12:19,25.1,61,3,E,11,1017.5,25.7,47,1,ENE,15,1014.8
,2019-10-19,18.1,26.3,0,,4.0,WSW,22,11:58,22.7,68,7,SW,2,1018.2,25.6,69,5,NE,7,1013.3
,2019-10-20,16.1,28.4,15.2,,11.3,ESE,41,16:49,23.3,53,1,S,4,1017.8,24.9,49,1,ESE,19,1016.3
,2019-10-21,18.1,25.0,0,,11.3,ESE,35,09:46,23.2,44,2,SE,13,1025.1,24.2,37,1,E,15,1022.6
,2019-10-22,15.4,25.0,0,,11.1,ENE,28,15:07,22.2,53,6,NNW,2,1025.3,23.8,51,1,NE,11,1021.9
,2019-10-23,16.2,26.6,0,,12.4,NNE,28,09:21,23.0,52,3,ESE,4,1024.6,24.5,49,1,ENE,13,1021.3
,2019-10-24,15.3,27.2,0,,12.2,ENE,26,14:38,23.0,57,1,W,6,1022.1,25.6,49,1,NNE,9,1018.7
,2019-10-25,15.2,27.5,0,,12.3,NNE,28,16:15,24.1,47,2,NE,9,1020.7,26.1,38,0,NNE,9,1016.3
,2019-10-26,16.5,27.6,0,,11.9,NE,35,15:50,24.3,50,1,N,7,1017.2,25.3,58,1,NNE,15,1011.7
,2019-10-27,18.1,29.6,0,,11.6,ENE,33,13:48,26.5,45,1,SSW,6,1013.9,26.0,47,1,ENE,15,1011.5
,2019-10-28,20.3,27.4,0,,6.0,ESE,35,17:39,23.7,59,8,SE,6,1018.2,25.9,56,7,E,15,1016.4
,2019-10-29,18.5,26.2,0,,11.8,E,30,09:11,23.9,48,2,E,13,1023.7,24.8,48,4,ENE,13,1020.6
,2019-10-30,16.1,24.7,0,,2.1,NE,20,10:20,22.6,58,7,ENE,7,1021.4,23.7,52,7,NE,7,1018.6
,2019-10-31,15.6,26.7,0,,11.7,E,30,13:24,24.6,47,6,NNW,6,1019.6,24.7,55,4,ENE,15,1016.7