"Daily Weather Observations for Hobart, Tasmania for November 2012"
"Prepared at 13:09 UTC on Friday  9 August 2013   IDCJDW7021.201211"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from Battery Point, but some from Hobart Airport."
"On average, there is slightly more sunshine at the airport than in the city."
"Temperature, humidity, wind, pressure, cloud and rainfall observations are from Hobart (Ellerslie Road) {station 094029}"
"Evaporation and sunshine observations are from Hobart Airport {station 094008}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2012-11-1,9.2,14.3,2.8,4.4,2.4,SW,56,06:13,9.3,86,,S,26,1004.0,10.5,71,,SSW,15,1005.1
,2012-11-2,8.7,15.1,0.6,2.6,7.2,WNW,48,01:07,11.6,55,,WSW,17,1013.6,13.4,51,,SSW,20,1015.4
,2012-11-3,4.1,15.2,0.2,4.2,10.0,SW,41,18:51,10.5,56,,N,9,1021.1,14.4,51,,ESE,19,1019.0
,2012-11-4,8.2,18.4,0,1.2,5.9,ESE,28,15:07,13.2,68,,NNW,9,1018.6,17.8,57,,SSE,15,1015.7
,2012-11-5,12.3,20.8,0,3.0,9.5,SE,35,15:12,16.2,76,,NE,13,1015.1,19.1,71,,SSE,24,1011.8
,2012-11-6,16.0,22.0,0.6,5.0,1.9,NW,43,06:05,18.3,83,,N,15,1007.9,16.0,89,,SSW,13,1007.5
,2012-11-7,9.8,22.2,0.4,2.0,5.7,WNW,39,11:21,15.0,62,,NW,11,1010.2,19.5,51,,ESE,17,1007.2
,2012-11-8,11.5,18.7,0,4.0,6.4,SSW,37,12:12,15.5,59,,NNW,11,1009.0,14.7,76,,SE,20,1009.2
,2012-11-9,10.6,16.3,10.4,5.6,2.1,SW,43,11:10,15.0,68,,N,9,1011.3,10.5,83,,SSW,17,1013.3
,2012-11-10,7.1,17.6,8.2,3.8,9.9,WSW,44,07:52,12.9,45,,SW,24,1023.0,16.3,42,,E,7,1022.2
,2012-11-11,6.9,23.3,0,1.2,12.4,NNW,41,20:49,13.4,54,,NNW,20,1024.3,20.6,48,,ESE,20,1019.3
,2012-11-12,13.3,24.6,0,6.8,5.5,NW,74,11:56,17.3,45,,ESE,4,1009.8,16.3,57,,S,15,1009.7
,2012-11-13,7.5,16.9,0.4,5.8,10.6,WNW,31,00:31,13.7,46,,NNE,15,1022.2,14.8,51,,SE,17,1021.6
,2012-11-14,9.3,19.5,0,5.8,6.0,SW,31,18:39,12.4,69,,NNW,6,1018.5,18.7,41,,SE,15,1014.2
,2012-11-15,10.8,19.2,0,4.0,9.4,NW,48,11:52,13.6,55,,NNW,17,1009.9,17.9,36,,NNW,19,1007.1
,2012-11-16,9.7,17.0,0.4,3.2,10.4,WSW,52,10:29,10.9,56,,WSW,19,1010.3,13.2,57,,SSW,31,1010.1
,2012-11-17,7.2,13.9,0.2,4.8,5.1,SE,28,14:41,11.9,49,,SSW,9,1016.1,13.5,54,,SE,17,1014.5
,2012-11-18,8.9,17.0,0.6,2.6,5.0,SE,26,17:46,12.5,70,,ESE,7,1015.8,,,,,,
,2012-11-19,8.7,23.4,0,3.2,9.5,SSE,44,16:52,16.4,57,,NNW,17,1021.8,20.1,44,,SE,22,1020.5
,2012-11-20,9.4,24.8,0,7.2,9.7,NNW,52,18:16,15.6,62,,NNW,24,1021.2,23.0,33,,NNE,22,1014.0
,2012-11-21,14.6,19.9,0,8.8,11.0,WNW,69,11:21,18.2,46,,NNW,24,1003.3,17.0,34,,WSW,20,1006.2
,2012-11-22,10.3,20.8,0,7.0,8.3,NW,56,12:09,15.0,60,,NNW,30,1010.2,19.3,41,,WNW,26,1011.4
,2012-11-23,8.8,20.4,0,8.0,11.9,S,37,16:44,16.4,47,,NNW,17,1017.6,19.7,41,,SE,19,1015.8
,2012-11-24,10.1,27.0,0,6.0,5.9,N,39,08:15,18.3,57,,NW,19,1011.0,21.2,49,,ESE,24,1006.0
,2012-11-25,12.4,18.1,0,4.2,10.5,SE,33,15:22,16.2,52,,ESE,17,1015.2,17.4,50,,ESE,19,1015.7
,2012-11-26,9.2,19.1,0,4.8,8.2,SSW,37,19:24,14.9,56,,NE,11,1019.7,17.5,59,,S,17,1017.7
,2012-11-27,12.9,19.5,0,7.0,6.2,SSW,28,19:29,13.5,84,,SSE,11,1019.3,16.3,65,,SE,19,1019.0
,2012-11-28,12.9,22.7,0,3.8,11.5,SE,33,14:07,19.4,58,,N,17,1018.9,20.7,49,,SE,24,1017.2
,2012-11-29,12.4,30.2,0,5.8,11.4,NNW,41,22:34,18.9,57,,NNW,22,1013.2,29.6,27,,NNE,17,1007.5
,2012-11-30,18.8,33.7,0,10.0,13.2,NW,83,13:23,27.0,45,,S,7,1003.4,31.3,15,,NW,46,1002.3