"Daily Weather Observations for Melbourne (Olympic Park), Victoria for May 2019"
"Prepared at 13:01 UTC on Saturday 17 August 2019   IDCJDW3033.201905"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Melbourne (Olympic Park) {station 086338}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2019-05-1,15.6,22.8,0,,,N,46,09:34,20.2,46,,N,20,1012.0,22.5,58,,N,19,1012.6
,2019-05-2,17.1,20.2,3.6,,,N,39,13:01,17.6,78,,N,13,1018.2,19.9,72,,N,17,1015.1
,2019-05-3,11.8,20.7,0.2,,,NNW,30,13:46,15.4,75,,NNW,11,1017.0,19.4,39,,NW,13,1014.0
,2019-05-4,13.0,16.4,0.2,,,S,37,17:19,14.1,72,,WSW,9,1019.4,16.1,66,,SSW,15,1020.5
,2019-05-5,11.3,16.3,2.0,,,SSW,28,14:40,13.0,84,,W,6,1025.4,15.5,71,,SSW,15,1024.3
,2019-05-6,11.7,16.7,0.2,,,SSW,24,13:25,12.2,85,,S,6,1023.5,16.0,61,,S,9,1020.0
,2019-05-7,7.4,18.7,0,,,NNW,57,21:26,10.6,80,,NNE,9,1014.6,18.6,46,,N,20,1008.7
,2019-05-8,10.3,17.4,5.2,,,W,35,11:49,13.0,75,,WNW,11,1011.3,15.6,61,,W,11,1013.8
,2019-05-9,9.7,16.2,0.6,,,N,57,12:39,13.4,62,,N,22,1013.2,16.1,47,,N,20,1009.1
,2019-05-10,10.2,14.2,7.2,,,S,50,17:04,11.8,100,, ,Calm,1011.8,13.8,77,,S,22,1014.5
,2019-05-11,10.2,16.4,8.2,,,W,26,09:41,12.2,76,,WNW,7,1025.4,15.2,70,,SSW,7,1025.0
,2019-05-12,12.2,17.7,0,,,N,22,17:56,14.3,68,,NNW,9,1028.3,17.0,56,,W,7,1026.7
,2019-05-13,12.7,18.1,0,,,N,46,15:42,14.5,74,,N,13,1027.8,17.4,50,,N,19,1024.5
,2019-05-14,11.3,20.2,0,,,NW,33,13:09,14.4,64,,N,13,1028.4,19.6,46,,W,9,1027.2
,2019-05-15,12.0,15.8,0,,,SW,20,12:40,13.6,74,,W,2,1031.9,15.1,57,,S,9,1030.2
,2019-05-16,10.5,16.1,0,,,S,17,13:32,11.3,77,,NE,7,1029.7,15.3,58,,SSW,9,1026.4
,2019-05-17,6.5,18.6,0,,,NNW,22,11:55,9.1,84,,NE,11,1028.4,16.6,58,,SSW,7,1026.2
,2019-05-18,6.2,21.5,0,,,W,17,14:01,8.9,83,,NE,9,1031.1,20.3,49,,SW,4,1027.5
,2019-05-19,8.9,21.8,0.2,,,N,33,11:32,11.9,76,,N,9,1028.9,20.4,43,,N,17,1025.2
,2019-05-20,12.0,19.6,0.4,,,N,52,13:35,17.8,60,,N,17,1021.4,18.6,64,,NNW,19,1018.6
,2019-05-21,11.1,20.4,0.4,,,NNW,33,15:46,14.0,77,,NNW,11,1023.8,19.3,56,,N,15,1022.2
,2019-05-22,10.7,22.3,0,,,NNW,24,12:23,14.4,72,,N,7,1028.3,20.9,38,,SSW,11,1026.1
,2019-05-23,9.9,21.3,0,,,N,46,14:10,13.8,72,,N,11,1026.5,20.8,43,,N,22,1021.6
,2019-05-24,13.8,20.2,0,,,N,50,15:58,16.1,47,,NNW,22,1019.7,19.3,50,,N,22,1014.0
,2019-05-25,13.7,19.8,1.6,,,NW,44,13:47,15.6,69,,NNW,7,1014.0,18.5,53,,NNW,20,1010.2
,2019-05-26,9.5,15.1,6.6,,,WSW,50,21:02,11.2,64,,N,11,1014.5,14.5,54,,NNW,22,1009.9
,2019-05-27,7.8,14.0,8.2,,,WNW,46,03:44,8.7,67,,WNW,13,1008.2,13.1,60,,WSW,15,1009.7
,2019-05-28,8.2,15.7,0.2,,,NW,44,21:11,9.7,76,,N,19,1010.3,14.9,61,,N,9,1004.8
,2019-05-29,8.7,10.6,1.2,,,NW,50,10:09,8.9,62,,WNW,13,1002.9,9.6,63,,W,15,1005.5
,2019-05-30,6.7,13.3,5.8,,,SW,31,14:50,8.5,71,,WSW,9,1021.3,12.4,63,,SW,13,1022.2
,2019-05-31,8.5,14.3,1.4,,,SSW,31,11:58,11.8,99,,SW,9,1027.1,13.3,80,,SSW,9,1027.4