"Daily Weather Observations for Brisbane, Queensland for November 2012"
"Prepared at 13:04 UTC on Friday  9 August 2013   IDCJDW4019.201211"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from Brisbane City, but some from Brisbane Airport."
"Brisbane Airport is located about 12 kilometres north east of the Brisbane City site, and closer to the coast. The evaporation, sunshine and cloud values should be used as a guide only."
"Temperature, humidity, wind, pressure and rainfall observations are from Brisbane {station 040913}"
"Cloud, evaporation and sunshine observations are from Brisbane Aero {station 040842}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2012-11-1,15.8,29.6,0.4,4.8,12.5,NNE,31,15:29,25.0,59,1,NNE,6,1014.9,26.9,59,6,NE,15,1008.7
,2012-11-2,18.6,29.4,0,6.0,10.6,E,46,14:12,27.8,52,5,ESE,13,1008.6,25.3,52,1,ESE,20,1009.8
,2012-11-3,19.4,26.5,0,11.0,7.4,ENE,30,10:15,22.6,57,7,E,11,1017.7,23.8,51,7,E,13,1016.3
,2012-11-4,17.6,26.3,0.6,7.0,9.1,ENE,22,13:59,21.2,71,6,E,6,1020.6,24.4,49,3,E,9,1017.6
,2012-11-5,15.6,27.1,0.2,9.6,12.2,ENE,26,13:55,23.5,58,5,NNW,2,1020.6,25.2,52,1,ENE,13,1017.7
,2012-11-6,15.5,27.0,0,6.6,11.3,ENE,30,13:44,24.9,49,5,ENE,6,1019.8,24.9,50,2,ENE,15,1016.9
,2012-11-7,15.7,28.0,0,6.8,8.2,E,22,11:08,22.6,65,6,NE,4,1017.8,26.0,53,6,NE,11,1014.4
,2012-11-8,19.8,28.0,0,4.2,8.0,NE,33,14:59,24.4,73,7,ENE,9,1015.9,25.8,60,2,NE,17,1013.5
,2012-11-9,21.5,29.3,0,9.6,8.3,NE,33,15:46,27.0,57,2,N,7,1016.8,25.1,61,7,NNE,13,1013.9
,2012-11-10,20.4,22.4,8.0,5.4,0.0,WNW,22,09:17,22.1,88,8,WNW,4,1017.0,19.8,91,8,SSE,6,1015.2
,2012-11-11,16.9,25.8,22.0,3.0,7.1,SSE,46,10:22,22.3,62,7,SSE,15,1021.8,24.6,37,2,SE,19,1019.9
,2012-11-12,15.3,25.8,0,8.0,11.7,E,30,15:41,21.3,58,7,SE,9,1024.9,24.2,45,2,E,13,1021.2
,2012-11-13,14.1,26.8,0,7.2,11.9,NE,22,12:12,23.4,50,1,WNW,4,1022.1,25.5,48,2,NNE,9,1018.0
,2012-11-14,14.8,27.9,0,8.0,12.3,NE,26,17:31,24.3,53,1,N,6,1019.5,26.3,56,1,NNE,13,1015.6
,2012-11-15,17.8,28.5,0,6.6,11.6,NE,33,15:42,25.7,56,1,NE,6,1016.6,27.1,59,2,NE,13,1012.0
,2012-11-16,17.9,31.1,0,7.6,12.1,NE,30,15:59,27.4,39,1,NW,7,1012.1,28.9,59,1,NE,13,1007.0
,2012-11-17,22.4,27.2,0,8.0,4.7,WSW,70,10:54,25.9,71,7,ENE,6,1011.9,26.5,61,3,NNE,6,1009.7
,2012-11-18,17.5,26.1,64.0,,2.9,NNW,24,18:11,20.4,92,8, ,Calm,1011.5,24.1,74,6,N,6,1007.1
,2012-11-19,17.6,34.4,16.6,5.8,12.4,WNW,35,12:39,26.0,71,1,W,6,1011.4,33.7,20,2,WNW,13,1007.0
,2012-11-20,18.2,28.1,0,9.0,12.0,ENE,26,14:48,23.4,44,6,S,6,1017.0,25.7,43,1,ENE,9,1014.6
,2012-11-21,17.7,28.1,0,8.0,12.1,SE,28,11:00,25.5,56,4,SE,9,1017.0,24.7,61,4,E,13,1013.7
,2012-11-22,18.1,28.9,0,5.6,9.0,ENE,24,12:05,25.1,58,2,W,4,1014.2,27.1,57,7,NNE,7,1010.5
,2012-11-23,22.4,28.1,0,7.8,8.6,ENE,26,14:02,26.0,58,3,ENE,7,1017.0,25.7,60,7,ENE,9,1015.3
,2012-11-24,19.1,27.7,0,7.0,11.6,NE,26,14:37,24.4,58,7,ENE,11,1019.3,26.0,57,7,ENE,11,1016.7
,2012-11-25,19.8,28.1,0,6.8,11.7,ENE,28,14:09,26.0,57,3,NNE,7,1019.0,27.0,54,1,NE,9,1016.3
,2012-11-26,21.2,28.8,0,7.6,9.7,E,30,15:47,25.0,65,3,NNE,4,1019.1,27.6,46,3,NE,13,1015.7
,2012-11-27,19.0,29.4,0,7.8,11.0,NNE,26,17:22,25.6,62,7,NW,6,1018.1,28.1,53,7,NNE,7,1015.0
,2012-11-28,20.7,30.3,0,8.4,11.2,NE,26,14:48,27.3,59,6,NE,4,1016.8,28.4,54,7,NNE,11,1013.7
,2012-11-29,20.5,29.9,5.0,7.0,11.3,NNE,20,14:08,26.6,57,2,E,4,1016.6,29.2,53,1,NNE,9,1013.9
,2012-11-30,20.0,30.6,0,7.0,13.2,NE,26,16:56,27.6,58,1,E,6,1017.2,29.6,48,1,NNE,11,1015.0