"Daily Weather Observations for Hobart, Tasmania for December 2012"
"Prepared at 13:09 UTC on Thursday  8 August 2013   IDCJDW7021.201212"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from Battery Point, but some from Hobart Airport."
"On average, there is slightly more sunshine at the airport than in the city."
"Temperature, humidity, wind, pressure, cloud and rainfall observations are from Hobart (Ellerslie Road) {station 094029}"
"Evaporation and sunshine observations are from Hobart Airport {station 094008}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2012-12-1,16.7,24.2,0,14.2,9.2,NW,93,14:09,22.2,29,,NW,31,999.2,21.8,32,,WNW,59,999.5
,2012-12-2,13.2,22.1,0,12.0,9.6,NW,56,03:47,14.8,51,,NNW,13,1009.8,19.0,,,SSW,11,1011.1
,2012-12-3,11.7,21.7,0,4.8,5.5,WNW,56,12:10,13.9,,,NNW,24,1004.2,19.4,36,,NW,22,999.5
,2012-12-4,7.5,15.1,0.6,5.8,8.0,SW,65,15:16,11.8,49,,NW,17,998.9,10.5,70,,SW,22,997.4
,2012-12-5,7.0,15.3,1.2,4.8,8.5,WSW,67,11:01,11.5,44,,W,31,1001.2,13.3,49,,SW,20,1005.0
,2012-12-6,10.1,19.2,0.2,3.8,11.2,SW,39,00:23,13.8,41,,SSW,22,1015.9,17.0,52,,ESE,15,1015.6
,2012-12-7,10.8,21.3,0,6.0,10.1,SE,28,14:03,14.9,68,,NW,9,1020.0,20.3,51,,SE,22,1017.6
,2012-12-8,11.8,32.9,0,5.2,12.4,NNW,74,15:32,20.2,46,,NNW,17,1011.4,31.9,15,,NNW,41,1003.1
,2012-12-9,11.5,20.8,4.2,14.8,11.0,SSW,52,12:13,16.6,35,,WSW,26,1017.3,19.7,30,,SW,26,1020.6
,2012-12-10,8.0,18.9,0.2,4.0,11.5,SE,39,14:16,15.2,44,,N,11,1029.0,18.2,44,,SE,26,1029.2
,2012-12-11,12.2,22.0,0,7.8,11.4,SE,39,13:48,18.3,57,,NNE,7,1031.4,19.2,58,,SE,30,1029.4
,2012-12-12,12.2,28.6,0,7.2,12.8,SE,41,15:41,18.3,52,,N,22,1026.2,27.7,25,,NE,19,1020.4
,2012-12-13,16.9,28.7,0,8.0,1.5,NNW,46,11:29,21.5,42,,NNW,26,1013.2,27.3,38,,NNW,13,1009.5
,2012-12-14,13.9,18.4,0,5.0,0.1,ENE,30,16:42,14.3,68,,SE,15,1017.3,18.4,57,,NE,15,1014.4
,2012-12-15,14.1,25.8,9.2,4.2,3.4,SSW,50,13:11,14.5,94,,NNW,17,995.0,20.5,65,,WSW,15,992.6
,2012-12-16,13.1,20.2,4.6,3.2,8.4,WNW,76,15:43,14.4,61,,W,7,994.9,18.9,38,,WSW,26,997.6
,2012-12-17,8.7,20.1,0.4,8.0,9.7,WNW,43,10:49,13.1,51,,NW,30,1009.1,17.8,34,,WNW,20,1008.2
,2012-12-18,11.8,22.2,0,6.0,10.0,NW,50,13:32,14.0,56,,ESE,11,1006.3,19.5,,,NW,22,1006.9
,2012-12-19,14.0,26.8,0,6.8,7.4,NW,74,15:46,20.7,49,,N,17,1001.9,24.4,46,,NNW,37,994.7
,2012-12-20,14.3,21.3,1.2,7.8,10.5,NW,56,23:48,17.3,39,,W,19,1001.6,19.4,36,,W,19,1006.2
,2012-12-21,11.8,21.2,0,7.6,9.5,NW,48,09:11,15.3,43,,NNW,24,1014.8,20.1,34,,NW,31,1013.9
,2012-12-22,10.0,22.8,0,6.2,12.0,SSE,41,14:34,17.3,47,,NNW,17,1013.7,19.6,47,,ESE,24,1012.3
,2012-12-23,11.6,23.0,0,6.6,6.3,ESE,24,10:45,15.6,74,,ENE,7,1011.6,18.9,59,,SE,11,1009.5
,2012-12-24,15.3,26.3,0,4.8,5.8,SW,69,16:32,17.7,73,,SSW,13,1003.9,22.3,52,,E,11,999.4
,2012-12-25,11.7,20.7,0,6.2,9.5,WSW,50,12:46,14.7,59,,NW,19,1017.1,18.8,38,,SW,26,1016.9
,2012-12-26,10.0,20.2,0.2,5.8,9.7,ESE,33,12:59,14.5,57,,NNE,9,1021.4,19.5,51,,SE,20,1017.8
,2012-12-27,14.3,26.7,0,7.4,5.5,SSW,50,16:28,16.9,53,,NNW,19,1012.9,25.6,23,,N,24,1005.9
,2012-12-28,14.4,22.5,0,7.8,6.9,WNW,44,21:59,16.7,52,,NW,11,1010.1,20.3,35,,SSW,15,1010.7
,2012-12-29,13.1,20.5,0,6.8,8.6,SW,65,15:10,16.3,57,,E,13,1010.7,19.4,28,,SW,31,1014.1
,2012-12-30,11.9,22.5,0,8.0,10.0,NW,48,15:46,15.2,45,,ENE,11,1019.0,20.0,30,,NNW,28,1016.1
,2012-12-31,13.6,24.7,0,7.0,2.7,NW,72,16:04,16.5,55,,N,31,1010.0,22.8,40,,NW,31,1006.7